
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
1,S,4975,0
1,S,4952,0
1,S,4945,0
1,S,4942,0
2,S,4927,0
1,S,4894,0
2,S,4936,0
1,S,4861,0
3,S,4897,0
2,S,4898,0
3,S,4959,2
2,S,4768,0
3,S,4991,0
1,S,4697,0
4,S,4969,0
3,S,4763,0
4,S,4961,0
5,S,4990,0
1,S,4614,0
2,S,4885,0
2,S,4625,0
6,S,4895,0
7,S,4998,0
4,S,4865,0
8,S,4913,0
9,S,4989,0
3,S,4873,0
2,S,4720,0
3,S,4900,2
4,S,4968,0
5,S,4605,0
1,S,4030,4
6,S,4884,2
4,S,4215,2
7,S,4965,0
2,S,4945,0
8,S,4957,0
3,S,4936,0
5,S,4901,0
9,S,4921,0
10,S,4995,0
6,S,4949,0
7,S,4982,0
11,S,4956,0
12,S,4986,0
5,S,4044,2
6,S,4872,0
5,S,4348,4
4,S,4068,4
6,S,4318,2
5,S,4813,0
8,S,3802,6
9,S,4936,0
7,S,4401,0
8,S,4997,0
9,S,4990,0
10,S,4955,0
11,S,4981,0
12,S,4953,0
6,S,3230,4
10,S,3239,4
11,S,4923,0
10,S,1230,4
7,S,4458,2
11,S,4745,6
8,S,4937,0
9,S,4992,0
13,S,3249,2
10,S,4980,0
11,S,4995,0
12,S,4955,0
13,S,4993,0
14,S,4885,0
15,S,4957,0
14,S,4801,0
15,S,4975,0
16,S,4953,0
12,S,4635,2
16,S,4820,0
13,S,4957,4
3,S,425,6
4,S,4978,0
5,S,4982,0
17,S,4886,0
18,S,4981,0
12,S,4103,0
13,S,4996,0
14,S,4995,0
15,S,4991,0
7,S,1206,8
14,S,4788,0
17,S,4731,2
15,S,4986,2
13,S,936,10
14,S,4965,0
15,S,4995,0
6,S,4723,0
4,S,243,8
5,S,4989,0
7,S,4975,0
6,S,4987,0
16,S,4951,0
17,S,4983,0
8,S,4960,0
9,S,4975,0
7,S,4928,0
8,S,4965,0
8,S,4742,6
9,S,4994,0
16,S,4723,2
16,S,4743,2
18,S,4695,2
10,S,4940,0
19,S,4984,0
11,S,4974,0
17,S,4920,0
12,S,4961,0
20,S,4947,0
18,S,4963,0
13,S,4992,0
21,S,4958,0
22,S,4974,0
23,S,4979,0
9,S,4750,0
19,S,4877,0
24,S,4961,0
14,S,4859,0
10,S,4963,0
15,S,4984,0
25,S,4953,0
16,S,4963,2
17,S,4982,0
17,S,4649,0
19,S,4265,2
10,S,4581,0
11,S,4993,0
12,S,4988,0
18,S,4966,0
26,S,4911,0
20,S,4951,0
21,S,4971,0
22,S,4996,0
13,S,4943,0
18,S,4900,0
19,S,4941,2
19,S,4989,0
14,S,4980,0
20,S,4771,2
11,S,4790,0
23,S,4930,0
15,S,4950,0
21,S,4966,0
16,S,4992,0
24,S,4969,0
27,S,4851,0
17,S,4968,0
18,S,4984,0
19,S,4996,0
22,S,4938,0
18,S,4338,0
25,S,4961,0
20,S,4982,0
20,S,4866,0
28,S,4945,0
21,S,4991,0
21,S,4986,0
23,S,4969,0
22,S,4988,0
19,S,4969,0
26,S,4967,0
27,S,4990,0
29,S,4967,0
28,S,4993,0
30,S,4994,0
23,S,4971,0
29,S,4962,0
20,S,4782,2
22,S,4908,0
24,S,4911,0
21,S,4936,0
12,S,4757,0
24,S,4873,0
31,S,4895,0
3,S,3903,2
23,S,4946,0
4,S,4980,0
32,S,4970,0
33,S,4970,0
25,S,4935,0
24,S,4946,2
30,S,4843,0
34,S,4969,0
22,S,4896,2
5,S,4926,0
25,S,4884,0
26,S,4940,0
27,S,4985,0
31,S,4946,0
35,S,4951,0
26,S,4948,0
28,S,4969,0
6,S,4914,0
23,S,4904,0
32,S,4942,0
36,S,4933,0
27,S,4929,0
28,S,4948,0
33,S,4891,0
29,S,4970,0
29,S,4851,2
30,S,4991,0
34,S,4971,0
30,S,4979,0
20,S,4512,4
37,S,4833,0
35,S,4933,0
31,S,4916,0
21,S,4948,0
38,S,4962,2
22,S,4962,0
31,S,4888,0
23,S,4997,0
32,S,4948,0
36,S,4944,0
37,S,4975,0
24,S,4703,0
25,S,4997,0
26,S,4994,0
38,S,4946,0
24,S,4907,0
27,S,4926,0
39,S,4840,0
28,S,4990,0
29,S,4984,0
25,S,4935,1
39,S,4918,0
40,S,4937,0
32,S,4813,0
33,S,4814,0
30,S,4944,0
40,S,4953,0
41,S,4967,0
13,S,4325,0
7,S,4519,0
42,S,4998,0
41,S,4989,0
31,S,4975,0
32,S,4997,0
26,S,4904,3
33,S,4976,0
