
episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance
41,T,4963,0,20
38,T,4863,0,20
28,T,4981,0,20
39,T,4987,0,20
21,T,4944,0,20
11,T,4869,0,20
41,T,4738,0,20
12,T,4995,0,20
40,T,4974,0,20
42,T,4986,0,20
13,T,4984,0,20
29,T,4949,0,20
29,T,4636,0,20
14,T,4976,0,20
28,T,4585,0,20
30,T,4973,0,20
41,T,4936,0,20
43,T,4945,0,20
44,T,4978,0,20
15,T,4946,0,20
29,T,4941,0,20
45,T,4979,0,20
42,T,4833,0,20
46,T,4980,0,20
22,T,4850,0,20
47,T,4979,0,20
48,T,4995,0,20
43,T,4963,0,20
16,T,4912,0,20
30,T,4847,0,20
44,T,4959,0,20
30,T,4679,0,20
45,T,4989,0,20
31,T,4977,0,20
49,T,4942,0,20
17,T,4966,0,20
32,T,4986,0,20
30,T,4877,0,20
46,T,4974,0,20
33,T,4987,0,20
31,T,4805,0,20
18,T,4968,0,20
19,T,4978,0,20
42,T,4783,0,20
23,T,4859,0,20
50,T,4927,0,20
31,T,4914,0,20
32,T,4983,0,20
20,T,4961,0,20
31,T,4916,0,20
34,T,4923,0,20
51,T,4974,0,20
47,T,4905,0,20
21,T,4979,0,20
32,T,4969,0,20
48,T,4986,0,20
22,T,4980,0,20
32,T,4889,0,20
33,T,4952,0,20
33,T,4987,0,20
43,T,4926,0,20
34,T,4994,0,20
34,T,4985,0,20
23,T,4974,0,20
24,T,4995,0,20
25,T,4996,0,20
49,T,4952,0,20
35,T,4915,0,20
44,T,4959,0,20
36,T,4989,0,20
26,T,4976,0,20
52,T,4878,0,20
24,T,4845,0,20
50,T,4942,0,20
35,T,4917,0,20
25,T,4966,0,20
51,T,4977,0,20
35,T,4887,0,20
52,T,4982,0,20
53,T,4941,0,20
27,T,4914,0,20
26,T,4959,0,20
54,T,4957,0,20
53,T,4938,0,20
54,T,4987,0,20
36,T,4887,0,20
36,T,4907,0,20
33,T,4776,0,20
45,T,4820,0,20
46,T,4991,0,20
47,T,4996,0,20
37,T,4815,0,20
37,T,4972,0,20
27,T,4909,0,20
38,T,4981,0,20
37,T,4953,0,20
28,T,4866,0,20
28,T,4975,0,20
55,T,4936,0,20
56,T,4992,0,20
39,T,4971,0,20
57,T,4992,0,20
34,T,4928,0,20
40,T,4982,0,20
55,T,4875,0,20
29,T,4961,0,20
56,T,4985,0,20
35,T,4971,0,20
58,T,4946,0,20
38,T,4908,0,20
39,T,4981,0,20
57,T,4951,0,20
38,T,4864,0,20
40,T,4995,0,20
29,T,4895,0,20
41,T,4923,0,20
36,T,4941,0,20
48,T,4849,0,20
58,T,4983,0,20
30,T,4908,0,20
30,T,4973,0,20
41,T,4969,0,20
42,T,4968,0,20
43,T,4992,0,20
31,T,4982,0,20
59,T,4920,0,20
32,T,4987,0,20
49,T,4945,0,20
42,T,4957,0,20
44,T,4953,0,20
31,T,4935,0,20
59,T,4896,0,20
33,T,4942,0,20
37,T,4879,0,20
60,T,4899,0,20
43,T,4913,0,20
44,T,4997,0,20
45,T,4990,0,20
45,T,4913,0,20
34,T,4938,0,20
39,T,4807,0,20
46,T,4984,0,20
60,T,4904,0,20
61,T,4934,0,20
50,T,4850,0,20
35,T,4954,0,20
40,T,4960,0,20
47,T,4954,0,20
61,T,4970,0,20
36,T,4983,0,20
46,T,4919,0,20
41,T,4973,0,20
37,T,4982,0,20
48,T,4962,0,20
38,T,4846,0,20
51,T,4934,0,20
42,T,4970,0,20
47,T,4966,0,20
43,T,4993,0,20
62,T,4936,0,20
44,T,4989,0,20
52,T,4935,0,20
39,T,4934,0,20
62,T,4864,0,20
53,T,4991,0,20
45,T,4929,0,20
63,T,4967,0,20
48,T,4901,0,20
46,T,4981,0,20
38,T,4852,0,20
47,T,4981,0,20
49,T,4965,0,20
63,T,4867,0,20
54,T,4916,0,20
40,T,4907,0,20
39,T,4961,0,20
64,T,4985,0,20
49,T,4823,0,20
65,T,4991,0,20
40,T,4985,0,20
48,T,4952,0,20
50,T,4981,0,20
41,T,4984,0,20
55,T,4949,0,20
41,T,4942,0,20
49,T,4956,0,20
42,T,4989,0,20
43,T,4997,0,20
64,T,4872,0,20
51,T,4961,0,20
66,T,4943,0,20
50,T,4886,0,20
42,T,4937,0,20
50,T,4965,0,20
44,T,4967,0,20
56,T,4945,0,20
43,T,4988,0,20
52,T,4959,0,20
51,T,4977,0,20
51,T,4968,0,20
67,T,4937,0,20
65,T,4924,0,20
45,T,4954,0,20
68,T,4991,0,20
53,T,4960,0,20
57,T,4944,0,20
44,T,4950,0,20
52,T,4951,0,20
52,T,4965,0,20
54,T,4984,0,20
69,T,4974,0,20
46,T,4973,0,20
45,T,4970,0,20
47,T,4978,0,20
48,T,4988,0,20
46,T,4979,0,20
53,T,4952,0,20
55,T,4953,0,20
49,T,4980,0,20
58,T,4928,0,20
53,T,4932,0,20
54,T,4971,0,20
59,T,4980,0,20
50,T,4972,0,20
55,T,4987,0,20
60,T,4984,0,20
56,T,4941,0,20
54,T,4950,0,20
51,T,4967,0,20
32,T,4360,0,20
55,T,4990,0,20
33,T,4985,0,20
52,T,4968,0,20
56,T,4935,0,20
53,T,4996,0,20
57,T,4992,0,20
56,T,4963,0,20
70,T,4835,0,20
61,T,4919,0,20
54,T,4963,0,20
71,T,4966,0,20
34,T,4920,0,20
55,T,4961,0,20
35,T,4982,0,20
57,T,4925,0,20
72,T,4968,0,20
58,T,4924,0,20
56,T,4987,0,20
58,T,4988,0,20
59,T,4968,0,20
36,T,4964,0,20
57,T,4819,0,20
60,T,4983,0,20
57,T,4957,0,20
58,T,4989,0,20
61,T,4989,0,20
59,T,4996,0,20
60,T,4984,0,20
73,T,4920,0,20
59,T,4932,0,20
58,T,4964,0,20
62,T,4819,0,20
63,T,4992,0,20
59,T,4954,0,20
37,T,4891,0,20
60,T,4929,0,20
66,T,4587,0,20
64,T,4968,0,20
62,T,4895,0,20
60,T,4966,0,20
61,T,4879,0,20
65,T,4959,0,20
66,T,4991,0,20
61,T,4935,0,20
67,T,4995,0,20
47,T,4584,0,20
38,T,4917,0,20
62,T,4983,0,20
62,T,4961,0,20
61,T,4926,0,20
67,T,4909,0,20
63,T,4993,0,20
48,T,4967,0,20
63,T,4972,0,20
68,T,4956,0,20
63,T,4896,0,20
62,T,4970,0,20
64,T,4974,0,20
39,T,4951,0,20
64,T,4980,0,20
65,T,4983,0,20
68,T,4953,0,20
49,T,4959,0,20
40,T,4979,0,20
64,T,4960,0,20
50,T,4985,0,20
69,T,4949,0,20
69,T,4968,0,20
41,T,4964,0,20
63,T,4937,0,20
70,T,4983,0,20
51,T,4967,0,20
70,T,4967,0,20
52,T,4991,0,20
71,T,4978,0,20
71,T,4978,0,20
64,T,4956,0,20
72,T,4963,0,20
65,T,4978,0,20
66,T,4981,0,20
67,T,4992,0,20
42,T,4904,0,20
53,T,4916,0,20
65,T,4846,0,20
73,T,4935,0,20
68,T,4964,0,20
54,T,4973,0,20
66,T,4973,0,20
69,T,4987,0,20
74,T,4598,0,20
74,T,4971,0,20
67,T,4970,0,20
43,T,4927,0,20
70,T,4965,0,20
55,T,4951,0,20
75,T,4968,0,20
44,T,4985,0,20
76,T,4983,0,20
75,T,4957,0,20
66,T,4754,0,20
45,T,4980,0,20
56,T,4975,0,20
57,T,4993,0,20
77,T,4984,0,20
71,T,4962,0,20
76,T,4972,0,20
65,T,4731,0,20
46,T,4961,0,20
58,T,4967,0,20
47,T,4991,0,20
77,T,4971,0,20
72,T,4955,0,20
68,T,4900,0,20
73,T,4981,0,20
74,T,4992,0,20
78,T,4969,0,20
66,T,4945,0,20
78,T,4919,0,20
69,T,4969,0,20
59,T,4939,0,20
75,T,4969,0,20
60,T,4985,0,20
76,T,4986,0,20
61,T,4986,0,20
62,T,4988,0,20
72,T,4676,0,20
77,T,4969,0,20
79,T,4924,0,20
79,T,4915,0,20
78,T,4984,0,20
79,T,4980,0,20
80,T,4974,0,20
63,T,4939,0,20
81,T,4996,0,20
73,T,4947,0,20
80,T,4949,0,20
70,T,4879,0,20
74,T,4973,0,20
82,T,4970,0,20
83,T,4989,0,20
48,T,4801,0,20
67,T,4748,0,20
71,T,4960,0,20
75,T,4973,0,20
84,T,4984,0,20
64,T,4939,0,20
65,T,4989,0,20
81,T,4932,0,20
66,T,4987,0,20
49,T,4956,0,20
82,T,4983,0,20
68,T,4953,0,20
76,T,4959,0,20
50,T,4982,0,20
72,T,4946,0,20
85,T,4941,0,20
51,T,4978,0,20
86,T,4991,0,20
52,T,4993,0,20
83,T,4953,0,20
87,T,4971,0,20
67,T,4926,0,20
84,T,4979,0,20
68,T,4996,0,20
77,T,4932,0,20
88,T,4986,0,20
73,T,4934,0,20
67,T,4698,0,20
69,T,4906,0,20
74,T,4977,0,20
78,T,4972,0,20
53,T,4936,0,20
68,T,4982,0,20
69,T,4954,0,20
69,T,4995,0,20
89,T,4960,0,20
75,T,4983,0,20
70,T,4965,0,20
80,T,4770,0,20
54,T,4970,0,20
79,T,4961,0,20
70,T,4972,0,20
71,T,4985,0,20
81,T,4979,0,20
55,T,4967,0,20
72,T,4974,0,20
80,T,4959,0,20
82,T,4967,0,20
76,T,4934,0,20
56,T,4972,0,20
81,T,4977,0,20
73,T,4963,0,20
57,T,4985,0,20
82,T,4988,0,20
90,T,4897,0,20
83,T,4963,0,20
58,T,4987,0,20
91,T,4978,0,20
71,T,4887,0,20
92,T,4984,0,20
84,T,4962,0,20
59,T,4960,0,20
85,T,4989,0,20
74,T,4935,0,20
83,T,4940,0,20
60,T,4987,0,20
93,T,4977,0,20
84,T,4991,0,20
86,T,4977,0,20
72,T,4958,0,20
70,T,4816,0,20
85,T,4975,0,20
61,T,4959,0,20
73,T,4970,0,20
94,T,4951,0,20
85,T,4731,0,20
74,T,4988,0,20
87,T,4950,0,20
77,T,4838,2,20
62,T,4968,0,20
75,T,4919,0,20
86,T,4952,0,20
95,T,4960,0,20
75,T,4970,0,20
76,T,4992,0,20
87,T,4965,0,20
71,T,4903,0,20
76,T,4937,0,20
88,T,4920,0,20
86,T,4913,0,20
87,T,4997,0,20
89,T,4992,0,20
77,T,4985,0,20
88,T,4991,0,20
77,T,4934,0,20
78,T,4895,0,20
89,T,4979,0,20
78,T,4982,0,20
79,T,4987,0,20
90,T,4959,0,20
78,T,4960,0,20
91,T,4990,0,20
72,T,4911,0,20
90,T,4972,0,20
79,T,4977,0,20
63,T,4853,0,20
96,T,4869,0,20
64,T,4993,0,20
97,T,4983,0,20
79,T,4944,0,20
65,T,4983,0,20
88,T,4864,0,20
73,T,4954,0,20
80,T,4962,0,20
92,T,4930,0,20
98,T,4961,0,20
89,T,4969,0,20
80,T,4956,0,20
81,T,4967,0,20
90,T,4980,0,20
74,T,4939,0,20
99,T,4962,0,20
82,T,4970,0,20
91,T,4885,0,20
80,T,4857,0,20
83,T,4989,0,20
91,T,4973,0,20
84,T,4987,0,20
81,T,4941,0,20
81,T,4985,0,20
100,T,4972,0,20
75,T,4967,0,20
82,T,4984,0,20
101,T,4981,0,20
76,T,4984,0,20
93,T,4910,0,20
85,T,4964,0,20
92,T,4947,0,20
102,T,4980,0,20
82,T,4959,0,20
86,T,4993,0,20
94,T,4970,0,20
87,T,4975,0,20
103,T,4972,0,20
77,T,4950,0,20
88,T,4993,0,20
93,T,4956,0,20
89,T,4990,0,20
78,T,4982,0,20
90,T,4992,0,20
83,T,4946,0,20
95,T,4948,0,20
84,T,4979,0,20
104,T,4947,0,20
91,T,4962,0,20
105,T,4991,0,20
85,T,4985,0,20
94,T,4950,0,20
96,T,4967,0,20
66,T,4762,0,20
