
episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers
36,S,4999,0,325,2,0
9,S,4877,0,325,2,0
10,S,4999,0,325,2,0
19,S,4910,0,325,2,0
20,S,4999,0,325,2,0
37,S,4963,0,325,2,0
38,S,4999,0,325,2,0
39,S,4995,0,325,2,0
40,S,4999,0,325,2,0
41,S,4980,0,325,2,0
42,S,4999,0,325,2,0
43,S,4952,0,325,2,0
44,S,4999,0,325,2,0
45,S,4982,0,325,2,0
46,S,4999,0,325,2,0
11,S,4866,0,325,2,0
12,S,4999,0,325,2,0
21,S,4841,0,325,2,0
22,S,4999,0,325,2,0
13,S,4959,0,325,2,0
14,S,4999,0,325,2,0
15,S,4977,0,325,2,0
23,S,4971,0,325,2,0
16,S,4999,0,325,2,0
24,S,4999,0,325,2,0
17,S,4997,0,325,2,0
18,S,4999,0,325,2,0
25,S,4244,0,325,2,0
26,S,4999,0,325,2,0
27,S,4998,0,325,2,0
28,S,4999,0,325,2,0
29,S,4982,0,325,2,0
30,S,4999,0,325,2,0
19,S,4959,0,325,2,0
20,S,4999,0,325,2,0
31,S,4992,0,325,2,0
32,S,4999,0,325,2,0
25,S,4935,0,325,2,0
26,S,4999,0,325,2,0
33,S,4973,0,325,2,0
